,RA_Center,DEC_Center
1164,329.23077,71.0
1165,332.30769,71.0
1166,335.38462,71.0
1167,338.46154,71.0
1168,341.53846,71.0
1169,344.61538,71.0
1170,347.69231,71.0
1171,350.76923,71.0
1172,353.84615,71.0
1173,356.92308,71.0
1174,0.0,70.0
1175,2.92683,70.0
1176,5.85366,70.0
1177,8.78049,70.0
1178,11.70732,70.0
1179,14.63415,70.0
1180,17.56098,70.0
1181,20.4878,70.0
1182,23.41463,70.0
1183,26.34146,70.0
1184,29.26829,70.0
1185,32.19512,70.0
1186,35.12195,70.0
1187,38.04878,70.0
1188,40.97561,70.0
1189,43.90244,70.0
1190,46.82927,70.0
1191,49.7561,70.0
1192,52.68293,70.0
1193,55.60976,70.0
1194,58.53659,70.0
1195,61.46341,70.0
1196,64.39024,70.0
1197,67.31707,70.0
1198,70.2439,70.0
1199,73.17073,70.0
1200,76.09756,70.0
1201,79.02439,70.0
1202,81.95122,70.0
1203,84.87805,70.0
1204,87.80488,70.0
1205,90.73171,70.0
1206,93.65854,70.0
1207,96.58537,70.0
1208,99.5122,70.0
1209,102.43902,70.0
1210,105.36585,70.0
1211,108.29268,70.0
1212,111.21951,70.0
1213,114.14634,70.0
1214,117.07317,70.0
1215,120.0,70.0
1216,122.92683,70.0
1217,125.85366,70.0
1218,128.78049,70.0
1219,131.70732,70.0
1220,134.63415,70.0
1221,137.56098,70.0
1222,140.4878,70.0
1223,143.41463,70.0
1224,146.34146,70.0
1225,149.26829,70.0
1226,152.19512,70.0
1227,155.12195,70.0
1228,158.04878,70.0
1229,160.97561,70.0
1230,163.90244,70.0
1231,166.82927,70.0
1232,169.7561,70.0
1233,172.68293,70.0
1234,175.60976,70.0
1235,178.53659,70.0
1236,181.46341,70.0
1237,184.39024,70.0
1238,187.31707,70.0
1239,190.2439,70.0
1240,193.17073,70.0
1241,196.09756,70.0
1242,199.02439,70.0
1243,201.95122,70.0
1244,204.87805,70.0
1245,207.80488,70.0
1246,210.73171,70.0
1247,213.65854,70.0
1248,216.58537,70.0
1249,219.5122,70.0
1250,222.43902,70.0
1251,225.36585,70.0
1252,228.29268,70.0
1253,231.21951,70.0
1254,234.14634,70.0
1255,237.07317,70.0
1256,240.0,70.0
1257,242.92683,70.0
1258,245.85366,70.0
1259,248.78049,70.0
1260,251.70732,70.0
1261,254.63415,70.0
1262,257.56098,70.0
1263,260.4878,70.0
1264,263.41463,70.0
